Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
Kyrie Irving,CLE,25,75,193,72,2525,83,24,184
LaMarcus Aldridge,SAS,31,83,260,72,2335,46,88,94
Lamar Patterson,ATL,25,77,225,5,40,1,0,8
Lance Stephenson,IND,26,77,230,18,362,5,3,18
Lance Thomas,NYK,29,80,235,46,968,21,5,52
Langston Galloway,SAC,25,74,200,74,1494,46,6,107
Larry Nance Jr.,LAL,24,81,230,63,1442,82,39,169
Larry Sanders,CLE,28,83,230,5,13,1,1,1
Lavoy Allen,IND,28,81,260,61,871,18,24,39
LeBron James,CLE,32,80,250,74,2795,92,44,167
Leandro Barbosa,PHX,34,75,194,67,963,31,8,67
Lou Williams,HOU,30,73,175,81,1993,80,20,141
Luc Mbah a Moute,LAC,30,80,230,80,1787,81,35,155
Lucas Nogueira,TOR,24,84,220,57,1088,52,89,91
Luis Scola,BKN,37,81,241,36,461,14,4,32
Luke Babbitt,MIA,28,81,225,68,1065,20,11,41
Luol Deng,LAL,32,81,220,56,1486,48,20,75
Malachi Richardson,SAC,21,78,205,22,198,5,1,9
Malcolm Brogdon,MIL,24,77,215,75,1982,84,12,135
Malcolm Delaney,ATL,28,75,190,73,1248,39,1,91
Malik Beasley,DEN,20,77,196,22,165,7,0,13
Manny Harris,DAL,27,77,185,4,25,0,0,1
Manu Ginobili,SAS,39,78,205,69,1291,82,16,144
Marc Gasol,MEM,32,85,255,74,2531,67,99,124
Marcelo Huertas,LAL,34,75,200,23,237,10,2,20
Marcin Gortat,WAS,33,83,240,82,2555,40,61,83
Marco Belinelli,CHA,31,77,210,74,1778,44,9,91
Marcus Georges-Hunt,ORL,23,78,220,5,48,1,0,3
Marcus Morris Sr.,DET,27,81,235,79,2565,52,25,114
Marcus Smart,BOS,23,76,220,79,2399,125,34,234
Marcus Thornton,WAS,30,76,205,33,575,19,3,34
Mario Hezonja,ORL,22,80,218,65,960,30,15,91
Markieff Morris,WAS,27,82,245,76,2374,82,42,160
Marquese Chriss,PHX,19,82,233,82,1743,67,70,135
Marreese Speights,LAC,29,82,255,82,1286,23,41,51
Marshall Plumlee,NYK,24,84,250,21,170,4,4,9
Marvin Williams,CHA,31,81,237,76,2295,58,53,126
Mason Plumlee,DEN,27,83,255,81,2148,69,92,156
Matt Barnes,GSW,37,79,226,74,1776,48,26,120
Matthew Dellavedova,MIL,26,76,198,76,1986,53,0,90
Maurice Harkless,POR,24,81,220,77,2223,85,70,183
Maurice Ndour,NYK,25,81,200,32,331,15,8,29
Metta World Peace,LAL,37,79,260,25,160,10,2,21
Meyers Leonard,POR,25,85,255,74,1222,13,28,47
Michael Beasley,MIL,28,82,235,56,935,27,27,54
Michael Carter-Williams,CHI,25,78,190,45,846,38,23,81
Michael Gbinije,DET,25,79,200,9,32,0,0,0
Michael Kidd-Gilchrist,CHA,23,79,232,81,2349,81,77,135
Mike Conley,MEM,29,73,175,69,2292,92,19,171
Mike Dunleavy,ATL,36,81,230,53,841,15,7,32
Mike Miller,DEN,37,80,218,20,151,2,0,3
Mike Muscala,ATL,25,83,240,70,1237,30,41,56
Mike Scott,ATL,28,80,237,18,195,4,3,7
Mike Tobey,CHA,22,84,260,2,25,0,0,1
Miles Plumlee,CHA,28,83,249,45,485,18,13,37
Mindaugas Kuzminskas,NYK,27,81,215,68,1016,29,11,52
Mirza Teletovic,MIL,31,81,245,70,1133,12,13,29
Monta Ellis,IND,31,75,185,74,1998,78,27,163
Montrezl Harrell,HOU,23,80,240,58,1064,20,42,37
Myles Turner,IND,21,83,243,81,2541,74,172,148
Nemanja Bjelica,MIN,29,82,225,65,1190,40,20,81
Nene,HOU,34,83,250,67,1198,56,39,103
Nerlens Noel,DAL,23,83,228,51,1047,65,50,136
Nick Collison,OKC,36,82,255,20,128,2,2,5
Nick Young,LAL,32,79,210,60,1556,37,14,96
Nicolas Batum,CHA,28,80,200,77,2617,86,29,160
Nicolas Brussino,DAL,24,80,215,54,521,17,8,29
Nicolas Laprovittola,SAS,27,76,180,18,174,4,1,10
Nik Stauskas,PHI,23,78,205,80,2188,45,32,88
Nikola Jokic,DEN,22,82,250,73,2038,61,55,130
Nikola Mirotic,CHI,26,82,238,70,1679,53,55,103
Nikola Vucevic,ORL,26,84,260,75,2163,76,74,143
Noah Vonleh,POR,21,81,245,74,1265,30,27,59
Norman Powell,TOR,24,76,215,76,1368,52,14,107
Norris Cole,OKC,28,74,175,13,125,8,0,16
Okaro White,MIA,24,80,204,35,471,10,10,26
Omer Asik,NOP,30,84,255,31,482,5,10,22
Omri Casspi,MIN,29,81,225,36,642,23,3,35
Otto Porter Jr.,WAS,24,80,198,80,2605,116,42,234
P.J. Tucker,TOR,32,78,245,81,2236,116,19,217
Pascal Siakam,TOR,23,81,230,55,859,26,45,70
Pat Connaughton,POR,24,77,210,39,316,6,2,10
Patricio Garino,ORL,24,78,203,5,43,0,0,1
Patrick Beverley,HOU,28,73,185,67,2058,99,25,209
Patrick McCaw,GSW,21,79,185,71,1074,32,15,82
Patrick Patterson,TOR,28,81,235,65,1599,40,23,82
Patty Mills,SAS,28,72,185,80,1754,65,3,116
Pau Gasol,SAS,36,84,250,64,1627,24,70,53
Paul George,IND,27,81,220,75,2689,119,27,241
Paul Millsap,ATL,32,80,246,69,2343,90,62,210
Paul Pierce,LAC,39,79,235,25,277,4,5,9
Paul Zipser,CHI,23,80,210,44,843,15,16,28
Pierre Jackson,DAL,25,70,180,9,84,2,0,7
Quincy Acy,BKN,26,79,240,38,558,14,15,48
Quinn Cook,NOP,24,74,179,14,187,4,0,6
RJ Hunter,CHI,23,77,185,3,9,0,0,0
Rajon Rondo,CHI,31,73,186,69,1843,99,11,197
Rakeem Christmas,IND,25,81,250,29,219,3,6,12
Ramon Sessions,CHA,31,75,190,50,811,27,3,42
Randy Foye,BKN,33,76,218,69,1284,35,9,61
Rashad Vaughn,MIL,20,78,202,41,459,19,10,35
Raul Neto,UTA,25,73,179,40,346,21,5,39
Raymond Felton,LAC,33,73,205,80,1700,66,22,144
Reggie Bullock,DET,26,79,205,31,467,18,3,29
Reggie Jackson,DET,27,75,208,52,1424,35,5,78
Reggie Williams,NOP,30,78,205,6,79,3,0,3
Richard Jefferson,CLE,37,79,233,79,1614,26,10,66
Richaun Holmes,PHI,23,82,245,57,1193,42,55,88
Ricky Rubio,MIN,26,76,190,75,2469,128,10,287
Robert Covington,PHI,26,81,215,67,2119,127,69,283
Robin Lopez,CHI,29,84,255,81,2271,18,117,42
Rodney Hood,UTA,24,80,206,59,1593,38,11,59
Rodney McGruder,MIA,25,76,205,78,1966,46,18,100
Rodney Stuckey,IND,31,77,205,39,696,16,0,24
